"Promoter Name"	"Absolute-Plus-1-Position"	"Promoters - genes downstream of promoter"	"Transcription-Direction"	"Promoters - transcription units of promoter"	"Transcription units - pathways"
PM0-8461	3072857	EG10703 // EG10282 // EG10703		TU0-8083 // TU0-8081	""
PM0-44558	661545	""	-	""	""
PM0-9879	4603034	G7946		TU0-14213	""
PM0-44922	1496776	""	+	""	""
PM00412	2535610	EG10165	+	TU0-4782	""
PM0-45286	2328199	""	-	""	""
PM591	2634197	EG11072	+	TU491	""
PM0-45651	3267228	""	+	""	""
PM0-10058	1809326	G6932		TU0-13383	""
PM0-46019	4374369	""	-	""	""
PM0-2582	368519	M014 // G6205 // M013 // M012 // M011 // M010		TU0-2402	""
PM0-8185	703175	EG10632		TU0-7805	""
PM0-44542	610254	""	-	""	""
PM0-9852		G7743 // G7742		TU0-13929	""
PM0-44906	1482991	""	-	""	""
PM00386	1946024	RUVB // RUVA		TU00353	""
PM0-45271	2280545	""	-	""	""
PM506	3560756	EG10400		TU404	""
PM0-45635	3250974	""	+	""	""
PM0-10041	1523227	G6763		TU0-8638	""
PM0-46003	4297330	""	-	""	""
PM0-2082	441373	G6236 // G6237 // EG10508 // EG11098		TU00373	""
PM0-7962	933218	""	+	""	""
PM0-44526	570847	""	+	""	""
PM0-9833		EG10780 // EG10779 // EG10778 // EG10777		TU0-14550	""
PM0-44890	1425249	""	+	""	""
PM00370	1498743	EG10853		TU0-6423	""
PM0-45256	2249638	""	-	""	""
PM437	576870	EG10659		TU356	""
PM0-45619	3221264	""	-	""	""
PM0-10023	1227609	G6616		TU0-13169	""
PM0-45987	4242260	""	-	""	""
PM0-1730	3679229	EG12252		TU0-1549	""
PM0-7661	2512734	G7254		TU0-7321	""
PM0-44510	544056	""	-	""	""
PM0-9811		EG30071 // EG30078		TU0-14528	""
PM0-44874	1411985	""	-	""	""
PM00354	954814	EG10701 // EG11258		TU00379	""
PM0-45241	2222082	""	+	""	""
PM336	3648512	EG12235 // EG12236 // EG12237		TU00239	""
PM0-45603	3185342	""	+	""	""
PM0-10004	939365	EG10947		TU0-13080	""
PM0-45971	4143858	""	+	""	""
PM0-1442	711521	G0-10580 // EG10359 // EG10318		TU0-1282	""
PM0-7321	1638812	G6825	-	TU0-6981	""
PM0-44494	504852	""	-	""	""
PM0-9792		EG30013		TU0-14512	""
PM0-44858	1352657	""	-	""	""
PM00337	432091	EG11035		TU00450	""
PM0-45226	2183820	""	-	""	""
PM261	1335424	EG11325	+	TU795	""
PM0-45587	3168289	""	-	""	""
PM-8814	1720998	G6885 // G6884 // G6883		TU-8428	""
PM0-45955	4086886	""	+	""	""
PM0-1341	4035239	EG30070 // EG30077 // EG30008 // EG30043 // EG30084		TU0-1181	""
PM0-6041	4262816	EG11933		TU0-5741	""
PM0-44478	447770	""	-	""	""
PM0-9770		EG30024		TU0-14372	""
PM0-44842	1330702	""	-	""	""
PM00321	85420	EG10499 // EG10500		TU0-6881	""
PM0-45210	2109716	""	-	""	""
PM191		EG10048 // EG10047 // EG10523 // EG10691 // EG10985		TU00362	""
PM0-45571	3134016	""	+	""	""
PM-8782	1130885	G6562 // G369 // G357		TU00272	""
PM0-45939	4060419	""	+	""	""
PM0-1125	4120406	EG11879 // EG11880		TU0-965	""
PM0-5441		EG10523 // EG10691 // EG10048 // EG10047 // EG10523 // EG10691		TU0-5221 // TU0-5201	""
PM0-44462	389861	""	-	""	""
PM0-9754		EG11344		TU0-14364	""
PM0-44826	1293516	""	+	""	""
PM00298	1058056	EG11815 // EG11814 // EG12195		TU00212	""
PM0-45194	2098375	""	-	""	""
PM168	1057984	EG12615		TU793	""
PM0-45555	3111307	""	-	""	""
PM0-45923	4011050	""	+	""	""
PM0-10543	1215752	G6607 // G6606 // G6605 // G6604		TU0-14762	""
PM0-5221	3544667	G7748 // G7747		TU0-4981	""
PM0-44447	327261	""	-	""	""
PM0-9727	4484273	EG11067 // EG11413		TU0-14474	""
PM0-44811	1245083	""	+	""	""
PM00276	1901933	EG10567 // EG10568 // EG10569		TU00196	""
PM0-45178	2044763	""	+	""	""
PM1021	2255290	EG12031		TU861	""
PM0-45539	3089659	""	+	""	""
PM0-45907	3950175	""	-	""	""
PM0-10509	3761297	EG10942 // EG10941		TU00355	""
PM0-4941	366358	EG10524 // EG10526 // EG10527		TU0-4701	""
PM0-44432	311939	""	+	""	""
PM0-9709	22229	EG11081 // EG11080 // EG10548 // EG10492		TU0-14465	""
PM0-44795	1218814	""	+	""	""
PM00251	1230738	EG11057 // EG11056		TU00180	""
PM0-45162	2008155	""	+	""	""
PM00663	926007	EG30096		TU00508	""
PM0-45523	3015234	""	-	""	""
PM0-45891	3869412	""	-	""	""
PM0-4722	765811	EG13236 // EG13235		TU0-4482	""
PM0-44417	289192	""	-	""	""
PM0-9678	91012	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086		TU0-14445	""
PM0-44779	1203014	""	-	""	""
PM00226	624727	EG10294		TU00164	""
PM0-45146	1979598	""	+	""	""
PM00647	780514	EG30055 // EG30109 // EG30057		TU00492	""
PM0-45507	2988431	""	+	""	""
PM0-45875	3828691	""	-	""	""
PM0-46364	1492119	G0-9611	+	TU0-13257	""
PM0-10445	2698638	EG11371 // EG11372		TU0-13667	""
PM0-44401	247624	""	+	""	""
PM0-9625	4527977	G0-10609		TU0-14424	""
PM00200	2479121	EG10249		TU00375	""
PM0-44766	1194437	""	-	""	""
PM0-45130	1941683	""	-	""	""
PM00631	2312864	EG10670		TU00476	""
PM0-45491	2970392	""	+	""	""
PM0-45859	3776424	""	-	""	""
PM0-46346	914895	G6458	-	TU0-13076	""
PM0-10408	638693	EG11385 // EG11384		TU0-14761	""
PM0-44385	214195	""	+	""	""
PM0-9596	1770372	G0-8863		TU0-13370	""
PM00175	4341887	EG10577 // EG10578		TU00131	""
PM0-44750	1167407	""	+	""	""
PM0-45114	1916181	""	+	""	""
PM00614	461838	G6242		TU0-6621	""
PM0-45478	2923050	""	-	""	""
PM0-45843	3727827	""	-	""	""
PM0-10367	1624688	EG11645		TU0-8706	""
PM0-44369	160143	""	-	""	""
PM0-9569	332039	EG11236		TU0-12889	""
PM00154	3927031	EG10375 // EG11199 // EG10093 // EG11199 // EG10093 // EG10093		TU0-14263 // TU0-14262 // TU00113	""
PM0-44734	1124083	""	-	""	""
PM0-45098	1893966	G6994	+	TU0-13416	""
PM00598	1031984	EG10468 // EG10469 // EG10470 // EG10471 // EG10472 // EG10473		TU00288	""
PM0-45462	2871911	""	-	""	""
PM0-45827	3712060	""	-	""	""
PM0-10343	3822077	EG10899 // EG10966 // EG10967 // EG10829		TU00344	""
PM0-46313	1961935	G7026	+	TU0-13445	""
PM0-44354	118681	""	+	""	""
PM0-9546	2272312	""	+	""	""
PM0-44718	1095693	""	+	""	""
PM00140	412529	EG10060		TU00099	""
PM0-45082	1871937	""	+	""	""
PM00581	3639998	EG11390		TU00432	""
PM0-45446	2773285	""	+	""	""
PM0-45811	3653269	""	-	""	""
PM0-10277	2153311	G0-8884		TU0-13502	""
PM0-46297	1447349	G6706	-	TU0-42547	""
PM0-44339	11913	""	-	""	""
PM0-9422	3343326	EG11680 // G7665		TU0-14292	""
PM0-44702	1051330	""	-	""	""
PM00115	3792577	EG10993 // EG10512		TU00225	""
PM0-45066	1833308	""	+	""	""
PM00564	3477525	G7716		TU0-1063	""
PM0-45430	2747846	""	+	""	""
PM0-45795	3609913	""	+	""	""
PM0-10243	1930765	EG11808		TU0-13438	""
PM0-4621	703840	EG10635		TU0-4421	""
PM0-4401	2599014	EG10658		TU0-4161	""
PM0-9381		EG11389 // EG11388 // EG10841		TU0-14278	""
PM0-44686	1005890	""	+	""	""
PM0-44683	997808	""	+	""	""
PM00092	1020947	EG10984		TU00066	""
PM0-45047	1787383	""	+	""	""
PM00545	1556606	EG10680		TU0-1762	""
PM0-45411	2705464	""	-	""	""
PM0-45776	3586919	""	+	""	""
PM0-10205	255914	EG10414		TU0-14680	""
PM0-46175	2053566	G7067		TU0-42474	""
PM0-3822	3418972	EG12837 // EG12836 // EG12835 // EG12834		TU0-3622	""
PM0-9328	25014	EG11081 // EG11080 // EG10548	+	TU0-14253	""
PM0-44667	947145	""	+	""	""
PM00066	987092	EG10671	-	TU00050	""
PM0-45031	1747113	""	+	""	""
PM00529	4611153	EG11391	+	TU0-1981	""
PM0-45395	2647493	""	-	""	""
PM0-45760	3536780	""	+	""	""
PM0-10184	4370976	EG10599		TU0-14674	""
PM0-46132	3785187	EG12298 // EG12297 // EG12296		TU0-42455	""
PM0-36254	3389496	G7688		TU0-8759	""
PM0-9218	880653	EG10203		TU0-8782	""
PM0-44651	889885	""	+	""	""
PM00045	366343	EG10524 // EG10526 // EG10527	-	TU00036	""
PM0-45015	1704812	""	+	""	""
PM00513	3793865	EG10838 // EG12210 // EG11189 // EG11424		TU00329	""
PM0-45379	2582893	""	-	""	""
PM0-45744	3499759	""	+	""	""
PM0-10164	4026485	EG10334		TU0-14665	""
PM0-46112	4630700	EG10950		TU0-14226	""
PM0-3624	4390638	G7840 // EG10775		TU0-3424	""
PM0-8913	554577	EG10196		TU0-8477	""
PM0-44634	850304	""	-	""	""
PM00027	167442	EG10302 // EG10304 // EG10305 // EG10303		TU00020	""
PM0-44999	1669652	""	-	""	""
PM00496	4178354	EG10895 // EG10894 // EG10873 // EG10871 // EG10864 // EG10872		TU0-6512	""
PM0-45363	2518334	""	+	""	""
PM0-45728	3434991	""	+	""	""
PM0-10145	3522826	EG10748		TU0-8822	""
PM0-46096	4594844	""	-	""	""
PM0-36225	214280	EG12137 // EG12354 // G6098		TU0-12835	""
PM0-8848	2839429	EG10086 // EG10085	+	TU00241	""
PM0-44619	800694	""	+	""	""
PM00008	4478344	EG10069		TU00006	""
PM0-44983	1638197	""	-	""	""
PM00479	3965647	EG11031		TU0-3102	""
PM0-45347	2482334	""	-	""	""
PM0-45712	3399083	""	-	""	""
PM0-10126	3184718	G0-9387 // EG10465	-	TU0-13839	""
PM0-46080	4558317	""	-	""	""
PM0-36195	3843910	EG11692		TU0-8765	""
PM0-8736	3811277	""	-	""	""
PM0-44604	777560	""	+	""	""
PM0-9991	645034	EG10856		TU0-12997	""
PM0-44967	1611874	""	-	""	""
PM00462	3882562	EG10828 // EG10242		TU0-1195	""
PM0-45331	2444251	""	-	""	""
PM963	4393937	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757 // EG11758		TU801	""
PM0-45696	3378290	""	-	""	""
PM0-10109	2867607	EG10510		TU0-14650	""
PM0-46064	4504020	G7901 // EG12544		TU0-14183	""
PM0-36157	159391	EG11374 // EG10690		TU0-36412	""
PM0-8703	1263556	EG10774 // EG11294 // EG11293		TU0-8323	""
PM0-44587	690984	""	-	""	""
PM0-9975	405686	EG10769		TU0-8493	""
PM0-44951	1544758	""	-	""	""
PM00443	3448222	EG11232 // EG10766 // EG10876 // EG10888 // EG10904 // EG10879 // EG10869 // EG10907 // EG10913 // EG10868 // EG10884 // EG10875		TU00337	""
PM0-45315	2388554	""	-	""	""
PM787	2601171	G7309 // G7308 // G7307 // G7306 // G7305 // G7304 // G7303 // G7302 // G7301 // G7300 // EG11282 // EG11150		TU686	""
PM0-45680	3334796	""	+	""	""
PM0-10090	2530201	EG10534 // G0-10462		TU0-13620	""
PM0-46048	4474834	""	+	""	""
PM0-3541	893736	EG11629 // EG11630 // EG11631 // EG11632		TU00322	""
PM0-8581	904523	G6450		TU0-8201	""
PM0-44571	676639	""	-	""	""
PM0-9958	106530	EG10265		TU0-14606	""
PM0-44935	1517246	""	-	""	""
PM00425	2909717	EG10258 // EG10810		TU0-6557	""
PM0-45299	2365754	""	-	""	""
PM662	1011659	G6491 // G6490		TU562	""
PM0-45664	3293211	""	+	""	""
PM0-10072	2071503	G7080		TU0-14636	""
PM0-46032	4433148	""	-	""	""
PM0-2881	2071317	G0-8905 // G7080	+	TU0-2701	""
PM0-8401	2587475	EG10014		TU0-8021	""
PM0-44555	658008	""	-	""	""
PM0-9872	106508	EG10265		TU0-12809	""
PM0-44919	1496645	""	+	""	""
PM00409	2533501	EG10788 // EG10789 // EG10165		TU00479	""
PM0-45283	2311594	""	-	""	""
PM588	461395	EG10467		TU488	""
PM0-45648	3267221	""	+	""	""
PM0-10055	1755600	EG10804		TU0-14631	""
PM0-46016	4356517	""	-	""	""
PM0-2482	222714	EG11504 // EG11737 // EG11621		TU0-2302	""
PM0-8182	1719777	G6881		TU0-7802	""
PM0-44539	606264	""	-	""	""
PM0-9849	1586664	G6791	-	TU0-7741	""
PM0-44903	1477471	""	+	""	""
PM00383	1932799	EG10256		TU26	""
PM0-45269	2278353	""	-	""	""
PM503	3561849	EG10400 // EG10397 // EG10395		TU401	""
PM0-45632	3250466	""	+	""	""
PM0-10038	1435641	G6699		TU0-13239	""
PM0-46000	4294307	""	+	""	""
PM0-2002	595462	G6318 // G6319		TU0-1822	""
PM0-7921	2483631	EG11610 // EG11609		TU0-7541	""
PM0-44523	568787	""	+	""	""
PM0-9830		EG11957 // EG11958 // EG11959 // EG12458		TU0-14547	""
PM0-44887	1423671	""	+	""	""
PM00367	1263676	EG12424 // EG10761 // EG10427		TU0-4201	""
PM0-45253	2243888	""	+	""	""
PM407	3811995	EG10329 // EG10891 // EG10886 // EG10891 // EG10886		TU0-5543 // TU00339	""
PM0-45616	3216539	""	-	""	""
PM0-10020	1147338	EG11318 // EG11317 // EG10277 // EG11437 // EG10890		TU0-1	""
PM0-45984	4230309	""	+	""	""
PM0-1727	3219120	G7595		TU0-1546	""
PM0-7542	2668982	G7336 // G7335 // G7334 // M015 // M009		TU0-7202	""
PM0-44507	523066	""	+	""	""
PM0-9807		EG30076 // EG30083		TU0-14524	""
PM0-44871	1395971	""	+	""	""
PM00351	813152	EG11062		TU0-7044	""
PM0-45239	2215586	""	+	""	""
PM333	3558107	G7750 // G7751	-	TU61	""
PM0-45600	3182429	""	-	""	""
PM0-10001	909320	G6454 // G6455		TU0-14618	""
PM0-45968	4139046	""	-	""	""
PM0-1421	4448402	EG11250 // EG12096		TU00250	""
PM0-7163	629855	EG10167		TU0-6823	""
PM0-44491	490873	""	+	""	""
PM0-9789		EG11810		TU0-14509	""
PM0-44855	1350236	""	-	""	""
PM00334	255809	EG10695		TU0-6556	""
PM0-45223	2168565	""	+	""	""
PM224	3777289	EG11963 // EG11962 // EG11961		TU164	""
PM0-45584	3162866	""	-	""	""
PM-8808	576873	G6311 // G6310 // G6309	+	TU-8422	""
PM0-45952	4079597	""	+	""	""
PM0-1302	1157626	EG10787	+	TU0-1142	""
PM0-5804	3103993	G7532 // G7533 // G7532 // EG10664 // G7533 // G7532		TU0-5569 // TU0-5581 // TU0-5564	""
PM0-44475	430469	""	+	""	""
PM0-9767		G6792		TU0-13293	""
PM0-44839	1317339	""	-	""	""
PM00318	28343	EG10206		TU0-6403	""
PM0-45207	2109676	""	-	""	""
PM181	1339190	EG11331		TU0-1741	""
PM0-45568	3133968	""	+	""	""
PM-8779	3296072	G7644		TU-8396	""
PM0-45936	4058380	""	+	""	""
PM0-1122	1329301	EG10956		TU0-962	""
PM0-5403	4419675	G7855		TU0-5163	""
PM0-44459	384701	""	-	""	""
PM0-9748		EG11418		TU0-14492	""
PM0-44823	1288751	""	-	""	""
PM00295	1936376	EG11221		TU00209	""
PM0-45191	2087238	""	-	""	""
PM165	2019595	EG11977 // EG11976 // EG11975 // EG11224 // EG10324 // EG10323 // EG10322		TU0-1441	""
PM0-45552	3109521	""	+	""	""
PM0-45920	4007739	""	+	""	""
PM0-10540	3206380	EG12694		TU0-8757	""
PM0-5167	3546449	EG12380		TU0-4927	""
PM0-44444	321484	""	+	""	""
PM0-9723	1119071	G6554 // EG11820		TU0-13126	""
PM0-44808	1243125	""	+	""	""
PM00272	3772188	EG10615 // EG10616 // EG11965		TU00193	""
PM0-45175	2042176	""	+	""	""
PM00676	4606432	EG30051 // EG30047 // EG30048		TU00521	""
PM0-45536	3074756	""	-	""	""
PM0-45904	3946780	""	+	""	""
PM0-10504	1622914	G0-10671		TU0-14797	""
PM0-4882	1942661	G7017		TU0-4642	""
PM0-4443	4439286	G7871		TU0-6362	""
PM0-9704	3212693	EG10896		TU0-14460	""
PM0-44792	1213212	""	-	""	""
PM00247	3536685	EG10269 // EG10672		TU00177	""
PM0-45159	1996910	EG10935	-	TU0-42626	""
PM00660	4392313	EG30038 // EG30040 // EG30041		TU00505	""
PM0-45520	3006117	""	+	""	""
PM0-45888	3843930	""	+	""	""
PM0-4684	712942	EG12144 // EG12197		TU0-4444	""
PM0-10469	3015992	G7498 // G7497		TU0-13781	""
PM0-44414	285350	""	+	""	""
PM0-9657	2870686	EG10689 // EG11817		TU00363	""
PM0-44776	1202259	""	-	""	""
PM00221	2263597	EG10336 // EG10337 // G7990		TU00161	""
PM0-45143	1961931	""	+	""	""
PM00644	236913	EG30025		TU00489	""
PM0-45504	2987508	""	+	""	""
PM0-45872	3815985	""	-	""	""
PM0-46360	2282440	EG10885	+	TU0-13557	""
PM0-10442	229098	EG11648		TU0-12839	""
PM0-44398	245993	""	-	""	""
PM0-9622	2700518	G0-10598		TU0-14421	""
PM00196	2543557	EG10193 // EG10183 // EG10198 // EG10197 // EG10195		TU00144	""
PM0-44763	1188267	""	-	""	""
PM0-45127	1930719	""	+	""	""
PM00628	2687526	EG10384		TU00474	""
PM0-45488	2965348	""	-	""	""
PM0-45856	3759925	""	-	""	""
PM0-46343	2193758	EG10586	+	TU0-42595	""
PM0-10401	1888061	EG10858		TU0-14354	""
PM0-44382	195555	""	+	""	""
PM0-9592	77338	EG12094 // G0-9381 // EG11574 // EG11573 // EG11572		TU0-12805	""
PM00172	2934119	EG10352 // EG10349 // EG10350 // EG10355 // EG10353		TU00128	""
PM0-44747	1161821	""	+	""	""
PM0-45111	1910159	""	+	""	""
PM00611	4330407	EG11612	+	TU0-3882	""
PM0-45475	2905605	""	+	""	""
PM0-45840	3725902	""	-	""	""
PM0-10364	117705	EG12107 // EG12106 // EG11798		TU0-12811	""
PM0-46328	2412594	G7188 // G7187	-	TU0-13582	""
PM0-44366	156984	""	-	""	""
PM0-9566		EG11551		TU0-14405	""
PM00151	29551	EG10134 // EG10135	+	TU00110	""
PM0-44731	1119632	""	-	""	""
PM0-45095	1881712	""	+	""	""
PM00595	923092	EG10156		TU00446	""
PM0-45459	2863569	""	+	""	""
PM0-45824	3696322	""	+	""	""
PM0-10331	2168349	G7120 // G7122		TU0-7744	""
PM0-46310	408574	G6231	+	TU0-12916	""
PM0-44351	73085	""	-	""	""
PM0-9539	3401193	EG10608 // EG10610 // EG10609 // EG10608		TU0-14389 // TU0-14386	""
PM0-44715	1082154	""	+	""	""
PM00137	3653936	EG11889 // EG11890		TU00096	""
PM0-45079	1862464	EG12394		TU0-41857	""
PM00578	1862597	EG10367		TU0-4906	""
PM0-45443	2767642	""	+	""	""
PM0-45808	3634817	""	+	""	""
PM0-10266	2545793	G7262		TU0-13624	""
PM0-46277	1148516	EG10277 // EG11317 // EG11318		TU00266	""
PM0-44336	8017	""	-	""	""
PM0-9417	3305932	EG10617		TU0-14288	""
PM0-44699	1048118	""	-	""	""
PM00111	85600	EG10500 // EG10499		TU00081	""
PM0-45063	1817242	""	-	""	""
PM00561		EG10309		TU00412	""
PM0-45427	2741677	""	+	""	""
PM0-45792	3609767	""	+	""	""
PM0-10238	3908447	EG10735 // EG10783		TU0-14694	""
PM0-46201	1638712	G6825	-	TU0-42493	""
PM0-4381	3038834	EG11070		TU0-4141	""
PM0-9376	1842163	G6955		TU0-8642	""
PM0-46197	4591367	G7942		TU0-42491	""
PM0-4203	622192	EG10295 // EG10298 // EG10296		TU0-3963	""
PM0-9373	2964220	EG12081 // EG11156 // EG11155 // EG11154 // EG10825		TU0-13745	""
PM0-44680	964108	""	+	""	""
PM00088	3600849	EG10897		TU00083	""
PM0-45044	1770926	""	+	""	""
PM00542	1109278	EG11885 // EG11886		TU00297	""
PM0-45408	2698707	""	+	""	""
PM0-45773	3581841	""	+	""	""
PM0-10202	903836	EG11627 // EG11626 // EG11625 // EG11624		TU0-14677	""
PM0-46166	1996857	EG10935		TU0-42467	""
PM0-3781	2427849	EG10452 // EG10007 // EG12125 // EG12124 // EG10072		TU0-3581	""
PM0-9325	454349	EG10125		TU0-14251	""
PM0-44664	945719	""	+	""	""
PM00063	2344755	EG12360 // EG10660 // EG10661		TU00047	""
PM0-45028	1743375	""	+	""	""
PM00526	2434015	EG10217		TU00232	""
PM0-45392	2642932	""	-	""	""
PM0-45757	3532588	""	-	""	""
PM0-10181	4363330	EG12176		TU0-14671	""
PM0-46128	1986148	EG10059 // EG10058 // EG10057		TU0-42451	""
PM0-36251	3182433	EG11167		TU0-8666	""
PM0-9197	3374583	G7679		TU0-8761	""
PM0-44648	889941	""	-	""	""
PM00041	3957867	EG10503		TU00033	""
PM0-45012	1704873	""	+	""	""
PM00509	4624856	EG11296 // EG10945		TU0-6514	""
PM0-45376	2563389	""	+	""	""
PM0-45741	3499433	""	+	""	""
PM0-10160	3959841	EG12352		TU0-14034	""
PM0-46109	4621716	""	+	""	""
PM0-36237	1441029	G0-10450		TU0-8698	""
PM0-8908	2949156	EG10063		TU0-8472	""
PM0-44631	842224	""	+	""	""
PM00024	4616679	EG10221 // EG10219 // EG10220 // EG10222		TU00017	""
PM0-44996	1657414	""	+	""	""
PM00492	4155078	EG11286		TU0-6886	""
PM0-45360	2518259	""	-	""	""
PM0-45725	3423707	""	-	""	""
PM0-10142	3476541	G7712 // G7713 // G7714 // G7715		TU0-14661	""
PM0-46093	4589048	""	-	""	""
PM0-36222	118703	EG10041 // EG10042		TU00237	""
PM0-8842	742798	G6382 // G6383 // G6381 // G6380 // G6379		TU0-8455	""
PM0-44616	798539	""	+	""	""
PM00005	4154885	EG10065 // EG10064 // EG11223		TU00004	""
PM0-44980	1633584	""	+	""	""
PM00476	3952388	EG10493 // EG10496 // EG10497		TU526	""
PM0-45344	2473422	""	+	""	""
PM0-45709	3389381	""	+	""	""
PM0-10123	3138700	G7553		TU0-8753	""
PM0-46077	4524140	""	-	""	""
PM0-36192	3634743	EG12228		TU0-8586	""
PM0-8733	1121032	G6557		TU0-8352	""
PM0-44601	774150	""	+	""	""
PM0-9988	557781	EG10328 // EG12879		TU0-12965	""
PM0-44964	1588298	""	-	""	""
PM00458	3881841	EG10828		TU0-3301	""
PM0-45328	2431875	""	-	""	""
PM935	1668591	G6851 // G6852		TU790	""
PM0-45693	3369562	""	-	""	""
PM0-10104	2800121	G7400		TU0-13711	""
PM0-46061	4496234	""	-	""	""
PM0-36147	3231624	G36	+	TU0-13853	""
PM0-8643	3647982	G0-9981		TU0-8263	""
PM0-44584	689205	""	-	""	""
PM0-9972	396363	EG12867		TU0-8768	""
PM0-44948	1544866	""	-	""	""
PM00440	3318297	EG30061 // EG10743 // EG10914 // EG11177 // EG11178 // EG10505 // EG10665 // EG11179 // EG30061 // EG10505 // EG10665 // EG11179 // EG30061		TU343 // TU0-6223 // TU00517	""
PM0-45312	2385769	""	+	""	""
PM741	121650	EG10084		TU641	""
PM0-45677	3326978	""	-	""	""
PM0-10086	2460979	G7214		TU0-13597	""
PM0-46045	4458065	""	-	""	""
PM0-3382	3039822	EG12697		TU0-3202	""
PM0-8542	900626	EG11628		TU0-8161	""
PM0-44568	669944	""	-	""	""
PM0-9955	1901772	G6997		TU0-8643	""
PM0-44932	1511453	""	+	""	""
PM00422	2804599	EG10773 // EG10772 // EG10771		TU704	""
PM0-45296	2364317	""	-	""	""
PM646	1298309	EG10031		TU546	""
PM0-45661	3287278	""	+	""	""
PM0-10068	1979226	G7030 // G7029 // G0-10539		TU0-13446	""
PM0-46029	4424828	""	-	""	""
PM0-2801	1764418	G6905 // G6906 // G6907 // G6908 // G6909 // EG11378		TU0-2621	""
PM0-8342	1251003	G6628		TU0-7962	""
PM0-44552	646632	""	-	""	""
PM0-9868	4399052	EG10435 // EG10436 // EG10437 // EG10438 // EG10595		TU0-14565	""
PM0-44916	1495117	""	-	""	""
PM00405	2437884	EG10216 // EG10454 // EG11059 // G0-9461		TU0-5182	""
PM0-45280	2306924	""	-	""	""
PM584	2701813	EG10247 // EG10693		TU484	""
PM0-45645	3254274	""	+	""	""
PM0-10052	1717283	G6879 // EG11043		TU0-14629	""
PM0-46013	4352390	""	+	""	""
PM0-2281	890892	G6447 // EG10852 // EG11261 // EG12842		TU0-2101	""
PM0-8161	3348421	G7667		TU0-7781	""
PM0-44536	606405	""	-	""	""
PM0-9845		EG11186		TU0-13982	""
PM0-44900	1442900	""	+	""	""
PM00380	1862618	G6966 // EG10367		TU0-4904	""
PM0-45266	2266214	""	+	""	""
PM5	1453865	G6719 // G6718 // G6717 // G6716 // G6715 // G6714 // G6713 // G6712 // G6711 // G6710 // G6709		TU5	""
PM0-45629	3238370	""	+	""	""
PM0-10035	1395973	G6666		TU0-8636	""
PM0-45997	4279829	""	+	""	""
PM0-1984	1367929	EG12344		TU0-1803	""
PM0-7861	2222120	EG12013		TU0-7501	""
PM0-44520	558803	""	+	""	""
PM0-9823	1074113	EG12301		TU0-14540	""
PM0-44884	1420260	""	+	""	""
PM00364	1146791	EG10890 // EG11119		TU602	""
PM0-45250	2237959	""	-	""	""
PM4	1453670	G6708		TU4	""
PM0-45613	3210628	""	-	""	""
PM0-10016	1120609	G6556 // G6555		TU0-13127	""
PM0-45981	4222629	""	-	""	""
PM0-1721	4591633	EG11034		TU0-1541	""
PM0-7521	3853257	G0-10201		TU0-7181	""
PM0-44504	515077	""	-	""	""
PM0-9803		G7941 // EG10021		TU0-14208	""
PM0-44868	1393054	""	+	""	""
PM00348	710723	EG10359	-	TU0-1283	""
PM0-45236	2204402	""	+	""	""
PM330	2520776	EG10407	-	TU0-6550	""
PM0-45597	3172407	""	+	""	""
PM0-1	3497754	EG10188		TU0-0	""
PM0-45965	4118386	""	+	""	""
PM0-1358	3639848	EG12231		TU0-1198	""
PM0-7141	2089965	EG11269 // EG11269 // EG10449 // EG10447 // EG10446 // EG10445 // EG10450 // EG10444 // EG10448 // EG10451		TU0-42511 // TU00285	""
PM0-44488	480503	""	-	""	""
PM0-9782		EG10026		TU0-14503	""
PM0-44852	1339182	""	+	""	""
PM00331	236017	EG10243		TU0-6648	""
PM0-45220	2167548	""	-	""	""
PM221	3536707	EG10269 // EG10672		TU161	""
PM0-45581	3161310	""	-	""	""
PM-8803	3682016	EG12254		TU-8417	""
PM0-45949	4073532	""	+	""	""
PM0-1283	816827	EG11595 // EG11596 // EG11666 // EG11597 // EG11598		TU00300	""
PM0-5763	3811175	EG10329		TU0-5523	""
PM0-44472	410118	""	+	""	""
PM0-9764	160722	EG11362 // EG10230		TU0-14494	""
PM0-44836	1315321	""	-	""	""
PM00315	3546405	EG12380		TU00229	""
PM0-45204	2107234	""	-	""	""
PM178	4233616	EG10550		TU0-6553	""
PM0-45565	3132525	""	-	""	""
PM-8775	3039633	EG10762 // EG10830 // EG11070		TU-8392	""
PM0-45933	4044131	""	+	""	""
PM0-1081	1116772	EG11116		TU0-921	""
PM0-5322	1697075	G6867		TU0-5082	""
PM0-44456	380850	""	-	""	""
PM0-9744	456605	EG10159 // EG10158		TU0-14490	""
PM0-44820	1270391	""	+	""	""
PM00290	3933322	EG10819 // EG10817 // EG10814 // EG10816 // EG10815 // EG10818		TU00206	""
PM0-45188	2067511	""	-	""	""
PM162	2522505	EG11146		TU791	""
PM0-45549	3102250	""	-	""	""
PM0-45917	4004297	""	-	""	""
PM0-10530	174902	EG10432		TU0-14805	""
PM0-5141	3658242	EG11544	+	TU0-4901	""
